Organisation,Appointments
"6VT Youth Cafe","Councillor Doran (Labour)
Councillor McVey (Scottish National Party)"
"Airth Benefaction Trust","Councillor Redpath (Labour)"
"Association for Public Service Excellence (APSE)","Councillor Hinds (Labour) Substantive Member
Councillor Rankin (Scottish National Party) Substitute Member
Chief Executive (or Nominee)"
"Audience Business Trust - Board","Councillor Lewis (Scottish National Party)"
"Borders Railway Joint Committee","Councillor Hinds (Labour)
Councillor Perry (Labour)"
"Cammo Estate Advisory Committee","Councillor Keil (Labour)
Councillor Work (Scottish National Party)"
"Capital City Partnership Ltd","Councillor Ross (Scottish National Party)
Councillor Munro (Labour)"
"CEC Holdings Limited","Councillor Buchanan ( Scottish National Party)
Councillor Hinds (Labour)
Councillor Munro (Labour)
Councillor Rose (Conservative)
Councillor Ross (Scottish National Party)
Director of City Development (or nominee)
Director of Corporate Governance (or nominee)
Council's Shareholder Representative - Chief Executive (or nominee)"
"Centre for the Moving Image (previously Edinburgh International Film Festival)","Councillor Brock (Scottish National Party)"
"Changeworks - Board","Councillor Orr (Scottish National Party)"
"Childrens Panel Advisory Committee (CPAC)","Councillor Key (Scottish National Party)
Councillor Redpath (Labour)"
"Citadel Centre Youth","Councillor McVey (Scottish National Party)
Councillor Munro (Labour)"
"Citizens Advice  Edinburgh - Observer","Councillor Rankin (Scottish National Party)"
"Corstorphine Youth and Community Centre","Councillor Edie (Scottish Liberal Democrat)"
COSLA,"Councillor Rose (Conservative)
Councillor Burns (Labour)
Councillor Cardownie (Scottish National Party)
Councillor Chapman (Green Party)
Councillor Hinds (Labour)
Councillor Rankin (Scottish National Party)"
"Craigmillar Opportunity Trust (Cre8te)","Councillor Child (Labour)
Councillor Buchanan (Scottish National Party)"
"Dancebase - Board of Management","Councillor Fullerton (Scottish National Party)"
"Dean Orphanage and Cauvin's Trust","Councillor Keil (Labour)"
"Dynamic Earth (Our)","Lord Provost (ex-officio)* (currently Councillor Wilson) (Labour)"
"EDI Ltd","Councillor Blacklock (Labour)
Councillor Buchanan (Scottish National Party)
Councillor Chapman (Green Party)
Councillor Day (Labour)
Councillor Hinds (Labour)
Councillor Munro (Labour)
Councillor Ross (Scottish National Party)
Councillor Rust (Conservative)
Director of City Development (or nominee)
Director of Corporate Governance (or nominee)
Council's Shareholder Representative: CEC Holdings (Chair)"
"Edinburgh Airport Consultative Committee","Councillor Hinds (Labour) Substantive Member
Councillor Orr (Scottish National Party) Substitute Member"
"Edinburgh and Lothians Area Tourism Partnership","Councillor Buchanan (Scottish National Party)
Councillor Munro (Labour)"
"Edinburgh Area Support Team (Childrens Panel)","Councillor Redpath (Labour)"
"Edinburgh Community Health Partnership","Councillor Ricky Henderson ( Labour)
Councillor Work ( Scottish National Party)"
"Edinburgh International Conference Centre Limited","Councillor Aldridge (Scottish Liberal Democrats)
Councillor Buchanan (Scottish National Party)
Councillor Bill Cook (Labour)
Councillor Munro (Labour) (Chair)
Councillor Ross (Scottish National Party)
Director of Corporate Governance (or nominee)
Council's Shareholder Representative : CEC Holdings (Chair)"
"Edinburgh International Festival Council - Directors","Lord Provost (ex-officio)* (currently Councillor Wilson) (Labour)
Councillor Austin Hart ( Labour)
Councillor Booth (Green Party)
Councillor Brock (Scottish National Party) 
Councillor Chapman (Green Party) 
Councillor Lewis (Scottish National Party)
Councillor Munro (Labour)
Councillor Mowat (Conservative)
"
"Edinburgh International Jazz and Blues Festival ","Councillor Cardownie (Scottish National Party)
Councillor Lewis (Scottish National Party)
Councillor Milligan (Labour)
Councillor Rust (Conservative)"
"Edinburgh International Science Festival Limited
(Trading Company)","Councillor Austin Hart (Labour)
Councillor Blacklock (Labour)
Councillor Fullerton (Scottish National Party)
Councillor Rose (Conservative)"
"Edinburgh Leisure","Councillor Austin Hart (Labour)
Councillor Balfour (Conservative)
Councillor Booth (Green Party)
Councillor Cairns (Scottish National Party)
Councillor Lewis (Scottish National Party)"
"Edinburgh Mela Limited - Board","Councillor Cardownie ( Scottish National Party)"
"Edinburgh Partnership Board","Councillor Bridgman (Scottish National Party)
Councillor Burns (Labour)
Councillor Rose (Conservative)
Councillor Whyte (Conservative)
Convener of Neighbourhood Partnerships Conveners' Forum"
"Edinburgh Technology Transfer Centre ","Councillor Ross (Scottish National Party)
Director of City Development (or nominee)"
"Edinburgh Tourism Action Group","Councillor Ross (Scottish National Party)"
"Edinburgh UNESCO City of Literature ","Lord Provost (ex-officio)* (currently Councillor Wilson) (Labour)"
"Edinburgh University - Curators of Patronage - Directors","Lord Provost Wilson (Labour)
Councillor Lewis (Scottish National Party)
Councillor McInnes (Conservative)"
"Edinburgh University Court - Assessor - Director","Lord Provost Wilson (Labour)"
"Eurocities Network","Lord Provost Wilson (Labour) Substantive member
Councillor Buchanan (Scottish National Party) Substitute member
Chief Executive (as Liaison Officer for contact purposes)"
"Festival City Theatres Trust","Councillor Aitken (Conservative)
Councillor Austin Hart (Labour)
Councillor Lewis (Scottish National Party)
Councillor Main (Green Party)"
"Fettes Trust (The Governors of) - Director","Councillor Balfour (Conservative)"
"George Heriots Trust","Councillor Rose (Conservative)"
"Gorgie/Dalry Community Association","Councillor Fullerton (Scottish National Party )
Councillor Milligan (Labour)"
"Granton Information Centre","Councillor Day (Labour)"
"Handicabs (Lothian) Limited ","Councillor Hinds (Labour)"
"Hawes/Longcraig Piers User Committee","Councillor Sheilds (Scottish Liberal Democrats)
Councillor Work (Scottish National Party)"
"Heriot-Watt University ","Councillor Ricky Henderson (Labour)"
"Historic Cramond","Councillor Paterson (Conservative)"
Imaginate,"Councillor Austin Hart (Labour)
Councillor Key (Scottish National Party)"
"John Watson Trust","Councillor Godzik (Labour)
Head of Schools and Community Services"
"John Watts Trust","Councillor Munro (Labour)"
"John Wilson /Robert Christie Bequest Fund Board of Management - Director","Councillor Aitken (Conservative)"
"Kirk of Greyfriars Society of Friends","Councillor Mowat (Conservative)"
"Leith Industrial School Trust","Councillor Booth ( Green Party)
Councillor Munro (Labour)"
"Lifecare (Edinburgh) Ltd - Observers","Councillor Aitken (Conservative)
Councillor Day (Labour)
Councillor Work (Scottish National Party)
Vacancy"
"Local Authority Action for Southern Africa: National Steering Committee","Councillor Gardner (Labour)"
"Local Authority Pension Fund Forum - Executive Committee","Councillor Rose (Conservative)"
"Lothian Homes Trust - Directors","Councillor Balfour (Conservative)
Councillor Day (Labour)
Councillor Key (Scottish National Party)
Vacancy"
"Lowland Reserve Forces' and Cadets' Association","Councillor Bridgman (Scottish National Party)"
"Marketing Edinburgh - Director","Councillor Buchanan (Scottish National Party)"
"Merchant Company - Endowment Trust","Councillor Aitken (Conservative)
Councillor Ricky Henderson (Labour)
Councillor Key (Scottish National Party)
Councillor McInnes (Conservative)
Councillor Ross (Scottish National Party)"
"NHS Lothian - Board","Councillor Ricky Henderson (Labour)"
"Nuclear Free Local Authorities - Scotland","Councillor Gardner (Labour)"
"Nuclear Free Local Authorities - UK and Ireland","Councillor Gardner (Labour)"
"One City Limited","Lord Provost (ex-officio)* (currently Councillor Wilson) (Labour)
Councillor Day (Labour)
Councillor Rankin (Scottish National Party)"
"Pacific Shelf 825 Limited","Councillor Perry (Labour)"
"PARC Craigmillar (Promoting and Regenerating Craigmillar)","Councillor Bridgman (Scottish National Party)
Councillor Munro (Labour)
Director of Services for Communities (or nominee)
Director of City Development (or nominee)
Chief Executive (or nominee)"
"Pentland Hills Regional Park Consultative Forum","Councillor Bill Henderson (Scottish National Party)
Councillor Walker (Labour)"
"Pentland Hills Regional Park Joint Committee","Councillor Bill Henderson (Scottish National Party)
Councillor Heslop (Conservative)
Councillor Walker (Labour)"
"Pilton Central Association/ West Pilton Neighbourhood Centre - observer","Councillor Cardownie (Scottish National Party)"
"Police Aided Clothing Scheme","Lord Provost (ex-officio)* (currently Councillor Wilson) (Labour)
Councillor Rose (Conservative)
Director of Corporate Governance (Honorary Auditor)"
"Princes Trust","Councillor Godzik (Labour)"
"Queen's Hall (Edinburgh) Ltd - Director","Councillor Austin Hart (Labour)"
"Rosyth Local Liaison Committee","Councillor Child (Labour)
Councillor Paterson (Conservative)
Councillor Shields ( Scottish Liberal Democrats)
Councillor Work (Scottish National Party)"
"Royal Blind - Director","Councillor Godzik (Labour)"
"Royal College of Surgeons of Edinburgh - Lay Advisers Group","Councillor Ricky Henderson (Labour)"
"Royal Edinburgh Military Tattoo (Charities) Limited - Trustees","Lord Provost (ex-officio)* (currently Councillor Wilson) (Labour)
Chief Financial Officer as Hon Treasurer (ex-officio)"
"Royal Lyceum Theatre Company - Non-Executive Directors","Councillor Austin Hart (Labour)
Councillor Lewis (Scottish National Party)"
"Royal Scottish National Orchestra - Board of Directors","Councillor Austin Hart (Labour)
Councillor Fullerton (Scottish National Party)"
"Scotland Exel","Councillor Rankin (Scottish National Party)
Councillor Whyte (Conservative)"
"Scottish Accident Prevention Council","Councillor Dixon (Scottish National Party)
Director of Services for Communities (or nominee)"
"Scottish Chamber Orchestra - Board of Directors","Councillor Lewis (Scottish National Party)"
"Scottish Councils Committee on Radioactive Substances (SOCCORS)","Councillor Gardner (Labour) Substantive member
Councillor McVey (Scottish National Party) Substitute member"
"Scottish Enterprise East of Scotland","Councillor Buchanan (Scottish National Party)"
"Scottish Local Government Forum
Against Poverty","Councillor Ricky Henderson (Labour) Substantive member
Councillor Work (Scottish National Party) Substitute member"
"Scottish National War Memorial ","Lord Provost (ex-officio)* (currently Councillor Wilson) (Labour)"
"Spartans Community Football Academy - Directors","Councillor Cardownie (Scottish National Party)
Councillor Redpath (Labour)"
"Theatre Workshop (Edinburgh)","Councillor McVey (Scottish National Party)"
"Torness Local Liaison Committee","Councillor Booth (Green Party)
Councillor Dixon (Scottish National Party)
Councillor Gardner (Labour)"
"Transform Scotland - Board","Councillor Hinds (Labour)"
"Traverse Theatre - Observer","Councillor Lewis (Scottish National Party)"
"Veterans Champion","Lord Provost Wilson ( Labour)"
"Volunteer Centre Edinburgh","Councillor Edie (Scottish Liberal Democrats)"
"Waste Recycling Environmental Ltd (Wren) - Advisory Panel","Councillor Cairns (Scottish National Party)"
"Waterfront Edinburgh Limited - Directors","Councillor Ross (Scottish National Party) (Chair)
Councillor Day (Labour)
Councillor Redpath (Labour)
Director of Corporate Governance (or nominee)
Council's Shareholder Representative: CEC Holdings (Chair)"
"WEA Scotland - Observer","Councillor Godzik (Labour)"
"Wester Hailes Land and Property Trust","Councillor Bill Henderson (Scottish National Party)"
"William Brown Nimmo Charitable Trust","Lord Provost ex officio (currently Councillor Wilson  Labour)
Councillor Munro (Labour)"
