Location,"Reference No",Position
"Craighouse Road",11057486,"At side of  2 Craighouse Avenue."
"Craigievar Square",17524670,"At side of No 40"
"Craigievar Wynd",13100481,"in front of no 1 Neidpath Court"
"Craigievar Wynd",17407151,"Opposite Toward Court."
"Craigievar Wynd",13100292,"At rear of 2 Rowallan Court."
"Craiglea Place",11224491,"At lighting column CTJ1."
"Craiglea Place",11224518,"At lighting column  CTJ04 on mono-block paving."
"Craigleith Crescent",12040882,"At lighting column on west side of junction with Queensferry Road."
"Craigleith Hill",17404344,"At lighting column at 39."
"Craigleith Hill",17404341,"At lighting column at 31."
"Craigleith Hill Avenue",9080028,"At lighting column near GPO pillar box at junction with Craigleith Hill Cres."
"Craigleith Hill Crescent",10925030,"At side of Scottish Power sub-station just down hill from house 4."
"Craigleith Hill Park",9079860,"At top at island."
"Craigleith Hill Park",9079821,"At lighting column CUA3."
"Craigleith Hill Park",9079995,"Opposite house 48, against wooden fence."
"Craigleith Hill Row",9767720,"At lighting column at side of house 39 Craigleith Hill Crescent."
"Craiglockhart Avenue",17404347,"At lighting column in front of house 2 at junction with Colinton Rd."
"Craiglockhart Avenue",11253555,"At lighting column on east side near junction with Slateford Rd."
"Craiglockhart Dell Road",17407398,"At Craiglockhart Avenue"
"Craiglockhart Dell Road",10969847,"At 42."
"Craiglockhart Dell Road",17404350,"IO metres from junction Craiglockhart Avenue."
"Craiglockhart Drive North",12046054,"At lighting column in front of house 5 at junction with Craiglockhart Loan."
"Craiglockhart Drive South",17407395,"At Craiglockhart Park."
"Craiglockhart Gardens",11117042,"Behind railings on road closure in front of 2 Craiglockhart Gdns and 33 Craiglockhart Rd Nth."
"Craiglockhart Loan",17404353,"At entrance at 56."
"Craiglockhart Park",17406900,"beside no 4"
"Craiglockhart Place",12045643,"At entrance of cul-de-sac near house 1."
"Craiglockhart Road",17404357,"Outside 88."
"Craiglockhart Road North",17404360,"At 'give-way' sign in front of shops at junction with Colinton Rd."
"Craiglockhart Terrace",17404366,"At lighting column CUX06A at sheltered housing."
"Craiglockhart Terrace",12085120,"On grass bank on opposite side of road to access road between houses 29 and 41."
"Craiglockhart View",11115392,"At lighting column between houses 9 and 12."
"Craigmillar Castle Road",17404369,"Outside 33."
"Craigmount Approach",17404372,"Near Drum Brae South."
"Craigmount Avenue North",12784745,"in front of no 98"
"Craigmount Avenue North",12831185,"Opposite house 127."
"Craigmount Avenue North",10879337,"On inside of fence at end of footpath to Maybury Drive opposite house 68."
"Craigmount Bank",12831293,"At lighting column in front of house 1."
"Craigmount Bank West",12831602,"At lighting column near house 1 at bend in cul-de-sac."
"Craigmount Brae",17407722,"At 95. (Formerly at 148. chgd 17/1/12)"
"Craigmount Brae",17407719,"At 144."
"Craigmount Brae",17407716,"At 119."
"Craigmount Brae",17404377,"facing no 1 by streetlight CVP04"
"Craigmount Brae",12832805,"At lighting column in front of house 63 in cul-de-sac."
"Craigmount Court",12830912,"Against wall opposite lighting column which is beside house 126."
"Craigmount Grove North",10879175,"Against metal fence around SSEB transformer at end of cul-de-sac near house 49."
"Craigmount Hill",12831947,"At lighting column at side of house  63 Craigmount Ave North."
"Craigmount Hill",12831665,"At lighting column at side of garage entrance to house 65 Craigmount Ave North."
"Craigmount View",10878602,"At Craigmount Avenue North"
"Craigour Avenue",17407271,"Junction of Craigour Avenue and Blackburh Crag, by 13 Craigour Ave"
"Craigour Avenue",17404380,"Between 29 and 31."
"Craigour Terrace",17442594,"At Craigour Drive at telecomms cabinet."
"Craigour Terrace",17404386,"At 29."
"Craigour Terrace",17404383,"At lighting column opposite number 36."
"Craigpark Avenue",10818650,"Outside 15, by lighting 67KF."
"Craigroyston Grove",17404389,"Opp No 35"
"Craigs Drive",13099419,"beside streetlight CWT0, near junction of Craigs Road and Craigs Drive"
"Craigs Drive",13099536,"At lighting column near entrance to houses  67 and 68 and opposite roundabout."
"Craigs Park",13099794,"in front of no 4"
"Craigs Park",13100070,"On footpath against brick wall at end of cul-de-sac beyond entrance to house 50."
"Craigs Road",12830654,"opposite no 68, by streetlight CWY29"
"Craigs Road",17404393,"At Turnhouse Road."
"Craigs Road",13094880,"At 'give way' sign at junction with Maybury Road."
"Craigs Road",12830330,"At lighting column between entrance and exit gates to Craigmount school car park."
"Cramond Avenue",17406923,"in front of no 8"
"Cramond Avenue",11246628,"Outside houses 6 to 8."
"Cramond Glebe Road",11246328,"Against stone wall at bottom of corner of road opposite cleaning howf."
"Cramond Green",11248437,"in front of no 12"
"Cramond Green",11248395,"On west footway at lighting column CXG2."
"Cramond Park",11247111,"in front of no 38"
"Cramond Road South",11071118,"Against stone wall in bus lay-by at end of footpath beside house 26."
"Cramond Terrace",11246835,"At 40, at Cramond Avenue."
"Cramond Vale",12116896,"At lighting column at junction at bottom of road on opposite side of road to houses 34 and 29."
"Cramond Vale",12116602,"At lighting column opposite house 2."
"Crewe Road North",17442397,"At lighting column CYF37, near 114 at new flatted development."
"Crewe Road North",94,"At lighting column 17."
"Crewe Road South",10988231,"To the left of bus stop (southbound) opposite Crewe Road entrance to Western General Hospital / SHSC."
Croft-An-Righ,12725476,"On footway at entrance to flats."
"Crosswood Avenue",11211248,"in front of no 2"
"Crosswood Crescent",11210873,"At house 16."
"Cumberland Street North West Lane",12885500,"behind no 68 Cumberland Street beside streetlight NGM06"
"Cumberland Street North West Lane",12885416,
"Cumlodden Avenue",17524651,"At junction with Ravelston Dykes"
"Curriehill Castle Drive",17407679,"At 17."
"Curriehill Castle Drive",13106301,"in front of no 27"
"Curriehill Castle Drive",17404400,"At lighting column 70KX."
"Curriehill Castle Drive",17406643,"At lighting column 81KX."
"Curriehill Castle Drive",13106745,"Outside house 171."
"Curriehill Castle Drive",17404397,"Outside house 117."
"Curriehill Castle Drive",13106703,"Against wooden fence at top of short cul-de-sac at 187, at lighting coumn 79KX."
"Curriehill Castle Drive",13106487,"Against wooden fence of Scottish Power sub-station at top of short cul-de-sac opposite house 137."
"Currievale Drive",17407401,"Outside garage near 102. By lighting  72LD."
"Currievale Drive",13102218,"in front of no 77"
"Currievale Drive",17404403,"At lighting column opposite house 24."
"Currievale Drive",13103115,"At lighting column at bottom of cul-de-sac between houses 164 and 166."
"Currievale Drive",13102458,"At lighting column 36LD opposite the end of Currievale Park between houses 190 & 192."
"Currievale Drive",13103172,"On footway at top end of cul-de-sac between houses 49 and 51."
"Currievale Drive",13103241,"On footway at top end of cul-de-sac between houses 21 and 23."
"Currievale Park",17519985,"At top of hill at lighting column o/s house No 64"
"Currievale Park",13102761,"At lighting column on corner in front of house 20."
"Currievale Park Grove",17404406,"Opposite 27."
"Currievale Park Grove",13102905,"Opposite 36."
"Cycle Track - Balerno To Slateford",12186064,"Near 10 West Mill Road (private access at junction with West Mill Bank)."
"Cycle Track - Wester Hailles",12258928,"facing Canal View Primary School"
"Daiches Brae",12456685,"At Brunstane Road South on north east footway."
"Dalhousie Terrace",17404409,"At 6."
"Dalkeith Road",17404415,"At Salisbury Road, at Chinese Restaurant."
"Dalkeith Road",17404412,"At Kilmaurs Terrace."
"Dalmahoy Crescent",9598609,"facing no 33"
"Dalmahoy Road",12722407,"about 250m south of Ratho on Dalmahoy Rd, 360m north of Ransfield Cottages"
"Dalmahoy Road Ratho",12722179,"At top of slope against stone wall fronting house number 7 at opposite end of road called Hillview Cottage."
"Dalmeny Street",17442624,"At St Andrew's Church."
"Dalry Place",17407775,"At Dalry Road."
"Dalry Place",17407772,"At end of street."
Damside,17406646,"At lighting column 2."
"Dania Court",17404420,"Between BT cabinet and lighting column DBB01."
"Dean Park Crescent",12295717,"At lighting column in front of house 3 at junction with Queensferry Rd."
"Dean Path",12406050,"in front of no 21 to 25"
"Dean Path",12405981,"near no 39, at entrance to Water of Leith walkway, beside streetlight DCk09"
"Dean Path",17404423,"At junction with Queensferry Rd against wall between small gate cemetry front entrance and corner pillar."
"Deanpark Avenue",10813415,"Outside 4, near junction Deanpark Grove."
"Deanpark Brae",10813295,"At junction with Main St at bottom of steps in front of the Trendsetter store - against stone wall."
"Deanpark Brae",17404426,"Against metal fence beside telephone junction box at end of path between houses 4 and 6."
"Deanpark Court",17404429,"Outside house 12 at lighting column 61KY."
"Deanpark Gardens",17442527,"At rear of 32 Marchbank Way."
"Deanpark Place",17404432,"Opposite 22."
"Dell Road",10973084,"At Colinton parish church, Spylaw Street."
"Dinmont Drive",17404441,"At Saddletree Loan."
"Dinmont Drive",17404438,"Opposite 83."
"Dinmont Drive",17404435,"At 138."
"Dolphin Avenue",12187714,"in front of no 32"
"Dolphin Gardens West",17558654,"Outside No 45, next to L/P 27XH"
"Douglas Gardens",11052293,"Opp hostel near Belford Road junction."
"Downie Grove",12039931,"Outside number 2."
"Downie Grove",12039880,"At end of wall from junction with St John's Road on west side of footway."
"Dreghorn Drive",17407181,"in front of no 18 by streetlight DER16"
"Dreghorn Drive",17404447,"At 26A."
"Dreghorn Loan",13216732,"At junction with Laverockdale Crescent."
"Dreghorn Park",11253132,"Outside house 27."
"Dreghorn Park",11253078,"Outside No. 14 at lighting column DEX08 (on island)."
"Dreghorn Park",11252949,"At lighting column near junction with Redford Road."
"Drum Avenue",12358073,"Outside 81."
"Drum Brae Crescent",8983746,"At top of footpath to Parkgrove Road at side of house 12."
"Drum Brae Drive",17407061,"in front of no 18, at junction of Drum Brae Drive and Clermiston View"
"Drum Brae Gardens",17524657,"Outside No 25"
"Drum Brae Grove",17404450,"Outside house 16."
"Drum Brae North",17407164,"in front of no 66, by junction of Drum Brae North and Craigmount North"
"Drum Brae North",8994891,"to left of 73"
"Drum Brae North",17404453,"At Barntongate Avenue."
"Drum Brae North",8994990,"At lighting column on west side of road just uphill from and opposite end of Drumbrae Terrace."
"Drum Brae Walk",17404459,"in front of no 25"
"Drum Brae Walk",17404456,"Outside 18."
"Drum Crescent",12371429,"Outside 10."
"Drum Street",12476561,"between no 1 Drum st and no 2 Ferniehill Road"
"Drum Street",17404465,"100 metres down from Royal Bank of Scotland."
"Drum Street",17404462,"Outside bingo hall."
"Drum Woods",17404468,"Off Ferniehill Drive"
"Drummond Street",12822434,"At top of steps to Infirmary Street at school."
"Drybrough Crescent",17442449,"Opposite 3."
"Drybrough Crescent",17407796,"At foot of hill."
"Dryden Gardens",13129838,"At lighting column DGD03."
"Drylaw Crescent",9704989,"in front of no 48"
"Drylaw Green",10848161,"Against wall near street name-plate on west side of junction with Telford Road."
"Duddingston Loan",17404474,"Opposite 3."
"Duddingston Mills",12383670,"in front of no 31"
"Duddingston Mills",12383781,"On footway at gable end of house 10."
"Duddingston Park",13308175,"at junction of Duddingston Park and Southfield Place, by streetlight DHH01"
"Duddingston Park South",17404484,"Behind 209."
"Duddingston Park South",17404481,"At 171."
"Duddingston Rise",17404487,"At side of house 75 Milton Road West."
"Duddingston Road",13149581,"Against railings of sub-station behind house 70 at entrance to school."
"Duff Street",17407404,"At 24."
"Dumbeg Park",17407410,"At 69."
"Dumbeg Park",17407407,"At 5."
"Dumbryden Drive",17404490,"At Wester Hailes police station."
"Dumbryden Gardens",17407769,"At 13."
"Dumbryden Gardens",17407413,"In parking area opposite 41."
"Dumbryden Gardens",17404493,"At 74."
"Dumbryden Grove",17407419,"At 4."
"Dumbryden Grove",17407416,"At 10."
"Dundas Home Farm",17407643,"At junction with B800"
"Dundas Street",13246366,"in front of no 39 to 43"
"Dundas Street",13246363,"in front of no 38 to 50"
"Dundas Street",13245877,"At 1, at Abercromby Place."
"Dundee Street",10947929,"At Coffin Lane, near entrance to West Approach Road."
"Dundee Street",10809305,"At Telfer subway, at corner from lighting column TAL27."
"Dundonald Street",17442545,"At 13."
"Dunlaw Wynd",17404497,"At re-cycle bins."
"Dunlaw Wynd",17404500,"At Lasswade Road."
"Dunvegan Court",13251322,"Beside lighting column in front of house 1."
"East Barnton Avenue",11068562,"On f/way at junction with Barnton Avenue."
"East Barnton Avenue",11068631,"On f/way outside entrance to Royal High school."
"East Barnton Avenue",11068433,"Near lighting EAE14 beyond house 37."
"East Barnton Avenue",11070617,"Against wall at side of police box at junction with Quality Street."
"East Barnton Gardens",11070359,"On f/way in corner at wooden fence, opposite house  7."
"East Caiystane Place",12052771,"At lighting column at side of 33 Caiystane Crescent."
"East Caiystane Road",11277189,"At lighting column at side of 15 Caiystane Crescent."
"East Comiston",11276070,"Outside house 1."
"East Comiston",17403684,"Outside house 2 at entrance to car parking area."
"East Craigs Rigg",17404512,"At 64."
"East Craigs Rigg",17404509,"Outside 86."
"East Craigs Rigg",17404506,"Opposite 28."
"East Craigs Rigg",17404503,"Outside house 76."
"East Craigs Wynd",17407154,"in front of no 1"
"East Farm of Gilmerton",12372095,"between no 26 and 27"
"East Farm of Gilmerton",12372152,"Near 11."
"East Farm of Gilmerton",12371963,"At lighting column EBR4."
"East Kilngate Place",17404524,"Outside house 64 at gable."
"East Kilngate Place",17404521,"At lighting column EFA06."
"East Kilngate Place",17404518,"At lighting column EFA01."
"East Kilngate Place",17404515,"At lighting column EFA03."
"East Kilngate Rigg",17407281,"to left of 48b East Kilngate Rigg"
"East Kilngate Rigg",17404530,"At lighting column EBF07."
"East Kilngate Rigg",17404533,"Outside house 44 at lighting column EFB11."
"East Kilngate Rigg",17404527,"In middle section of street, at lighting column EFB04."
"East Market Street",17407568,"At entrance to council headquarters, Waverley Court."
"East Newington Place",12087751,"in front of garage, facing no 1"
"East Parkside",11078633,"in front of no 19 to 34, opposite no 6"
"Easter Currie Court",17404539,"On grass verge opposite house 15."
"Easter Currie Crescent",8727640,"At Easter Currie Terrace"
"Easter Drylaw Bank",17442579,"At Easter Drylaw Avenue."
"Easter Haugh",12752473,"beside no 13"
"Easter Park Drive",17404545,"At Rose Court, at lighting column EBM08."
"Easter Steil",17406906,"opposite no 24, beside streetlight EGL08"
"Easter Steil",17404554,"At 30."
"Easter Steil",17404551,"At lighting column EGL20."
"Easter Warriston",17404557,"At lighting column EBP17."
"Easter Warriston",12842240,"At lighting column EBP26."
"Echline Avenue",13162097,"At lighting column opposite end of Echline Drive against wooden fence."
"Echline Drive",17404560,"At house 83, beside the wooden fencing."
"Echline Place",12389505,"At lighting column in front of house 16."
"Echline Place",17404563,"At side of house 60."
"Echline Place",12389337,"At house 21."
"Echline Terrace",17404566,"Outside house 14."
"Edinburgh Rd - Sth Q/ferry",9778364,"In recess in garden wall at foot of eastern path up to Stoneycroft Road (between billboards and rose bed)."
"Edinburgh Rd - Sth Q/ferry",9778310,"At lighting column with two road signs on it opposite Seal Craig Hotel at end of west f/way up to Stoneycroft Rd."
"Eildon Street",17404569,"At cycleway entrance."
"Eildon Terrace",13302742,"At 23."
"Ellen's Glen Loan",8972952,"by weir near junction with Ellen's Glen Road"
"Ellen's Glen Road",17404575,"At 6."
"Ellen's Glen Road",8973051,"Opposite Ellen's Glen Loan."
"Ellersly Road",17407725,"Opposite Western Corner."
"Ellersly Road",17404584,"Against wall at junction with Guardians Wood Road."
"Ellersly Road",17404581,"On f/way at entrance to United Distillers premises."
"Elliot Gardens",17407422,"At 8."
"Elliot Gardens",17404587,"At Colinton Road. (Large bin)."
"Elliot Gardens",10937441,"Against concrete wall opposite lighting column in front of house 14."
"Elliot Park",11258124,"at end of cul de sac, in front of no 18"
"Elliot Park",11257839,"At Craiglockhart Road."
"Elliot Place",17404590,"At lighting column in front of house No 1."
"Elliot Road",17404593,"At Elliot Park"
"Essex Park",13249777,"At lighting column in front of house 4."
"Essex Road",17406934,"in front of no 39"
"Essex Road",17406928,"in front of no 53"
"Ettrick Loan",17404596,"At lighting column 2."
"Ettrick Road",17404599,"At Polwarth Terrace."
"Ettrickdale Place",9019332,"At lighting column EFZ1 at house 1 (off Glenogle Rd)."
Fair-a-Far,11249262,"At lighting column FAA4."
Fair-a-Far,11249361,"At lighting column FAA6."
Fair-a-Far,11249025,"At lighting column at rear of car shelters around house 2."
Fairbrae,17404602,"At lighting column 3 (on PCC slab)."
"Fairmile Avenue",11276985,"At lighting column at side of house 33."
"Falkland Gardens",17404605,"Opposite house 7 at bottom of road."
"Farquhar Terrace",12384165,"in traffic island at junction of Farquhar Terrace and Stewart Terrace, facing A90"
"Farrer Terrace",17404608,"At lighting column FAR14."
Fauldburn,12841391,"in front of no 136"
Fauldburn,17404614,"At lighting column opposite 112."
Fauldburn,12841328,"At lighting FAS35."
Fauldburn,12841364,"At lighting column FAS30."
Fauldburn,17404611,"Near house 12 in shrub patch (3 wooden stobs removed) near parking area."
Fauldburn,12841148,"At lighting column FAS1."
Fauldburn,12841253,"Outside 92 at lighting column FAS21."
Fauldburn,12841226,"At lighting column in front of house 37."
"Featherhall Place",10885988,"Against wall at end of cul-de-sac beside entrance to Cleansing Depot opposite telephone exchange."
"Ferniehill Drive",17520102,"o/s No 12/1 within sheltered housing complex (access via f/path at side of No 14)"
"Ferniehill Drive",17404617,"Outside 76 Ferniehill Gardens."
"Ferniehill Road",17404620,"At Ferniehill Drive."
"Ferniehill Road",17404623,"At side of 141."
"Fernielaw Avenue",17407425,"At 43."
"Fernielaw Avenue",17404626,"At West Carnethy Avenue"
"Fernielaw Avenue",13217632,"At 1."
"Fernieside Crescent",17404632,"At 30 by lighting column FBT07."
"Fernieside Crescent",17404629,"At lighting column FBT22."
"Fernieside Drive",17404635,"At 24 (in cul-de-sac)."
"Fernieside Gardens",17404642,"Opposite 38 at catv box."
"Fernieside Gardens",17404639,"At lighting column FBV05."
"Fernieside Grove",17404645,"At Moredun Park Road."
"Fernieside Place",17442500,"At lighting column FBZ01."
"Fernieside Place",17442497,"At lighting column FBZ09."
"Ferry Gait Drive",17519988,"On south side of junction with Muirhouse Bank"
"Ferry Road",17404651,"At 205."
"Ferry Road",17404648,"Outside Movie Express, Drylaw shopping centre."
"Ferry Road Avenue",17404654,"Outside houses 37-39 at lighting column FCA16."
Ferryfield,17404669,"In Court 'B' outside 18."
Ferryfield,17404666,"Opposite house 47."
